 MACD, MACD-C3,MA5, TS-9, TS-6,Corp 3,Corp2,MA10,Target,CLOSE,Date
-0.46,-1.46,-1.7,-1,-1,1,1,0.25,-1,251.5,209
-0.39,0.61,-1.1,-1,0,-1,0,0.75,-1,256.5,208
-0.34,0.66,-0.8,0,0,-1,1,0.4,-1,259.5,207
-0.4,-0.4,-0.6,0,0,0,0,0.65,0,260,206
-0.41,-0.41,0.4,0,0,0,0,1.05,0,261,205
-0.18,-0.18,2.2,-1,-1,0,-1,1.5,0,261,204
-0.01,0.99,2.6,0,0,-1,0,1.8,-1,265,203
0.13,1.13,1.6,0,0,-1,0,2.2,0,265,202
0.32,1.32,1.9,0,0,-1,1,2.15,0,264,201
0.24,1.24,1.7,1,1,-1,1,1.6,0,264,200
-0.1,-1.1,0.8,1,1,1,0,1,1,259,199
-0.15,-1.15,1,0,0,1,0,0.95,1,254,198
0.22,1.22,2.8,-1,-1,-1,1,0.7,0,252,197
0.24,1.24,2.4,0,0,-1,0,0.6,-1,256,196
0.2,1.2,1.5,1,1,-1,0,1.15,0,254.5,195
0.27,1.27,1.2,0,0,-1,1,0.95,1,250.5,194
0.13,-0.87,0.9,1,1,1,1,1.25,0,250,193
-0.19,-0.19,-1.4,1,1,0,1,0.35,1,247,192
-0.2,-1.2,-1.2,0,0,1,0,0.15,1,242,191
-0.18,-1.18,0.8,0,0,1,0,-0.55,0,242.5,190
-0.14,-1.14,0.7,0,0,1,1,-0.1,0,243,189
-0.23,-0.23,1.6,0,0,0,0,-0.15,0,244,188
0.32,-0.68,2.1,-1,-1,1,1,1.35,0,242.5,187
0.51,1.51,1.5,0,0,-1,1,1.55,-1,249,186
-0.06,-0.06,-1.9,1,1,0,1,0.3,0,248.5,185
-0.05,-0.05,-0.9,0,0,0,1,0.05,1,239,184
-0.53,-1.53,-1.9,1,1,1,1,-1.15,0,240.5,183
-0.37,0.63,0.6,-1,-1,-1,0,-0.6,1,234.5,182
-0.28,0.72,1.6,-1,0,-1,0,0.1,-1,238.5,181
0.37,-0.63,2.5,-1,-1,1,0,1.65,-1,241,180
0.27,-0.73,1,1,1,1,1,1,-1,248.5,179
0.4,-0.6,-0.4,0,0,1,1,1.1,1,245,178
-0.21,-0.21,-1.8,1,1,0,1,-0.25,0,244,177
-0.5,-1.5,-1.4,1,0,1,-1,-0.25,1,235.5,176
